id,key,display_name,category,status,description,source,model_path,scale,preferred_biome,source_block,produced_resources,stack_limit
1978454099,drop.berry_fruit,drop berry fruit,drop,active,Registered ecology content: drop.berry_fruit,"{""Ecology"":{""ResourceDrop"":""BerryFruit""}}",procedural/eco/berry_fruit.glb,"0.52,0.52,0.52",Jungle,BerryThicket,273424627:resource.apple:1,
3011426699,drop.stone,drop stone,drop,active,Registered ecology content: drop.stone,"{""Ecology"":{""ResourceDrop"":""Stone""}}",procedural/pretty/resource_stone.glb,"0.8,0.8,0.8",,Stone,1647199502:resource.stone:1,
2309316802,item.dragon_katana,龙武士刀,item,active,Legendary equipment: item.dragon_katana,"{""Item"":""DragonKatana""}",procedural/pretty/hoplite_dragon_katana.glb,"1,1,1",,,,1
88675769,plant.fallen_stick,plant fallen stick,plant,active,Registered ecology content: plant.fallen_stick,"{""Ecology"":{""Tree"":""FallenStick""}}",procedural/pretty/fallen_stick.glb,"0.62,0.62,0.62",,Wood,252128356:resource.wood:1,
1750526820,plant.palm,plant palm,plant,active,Registered ecology content: plant.palm,"{""Ecology"":{""Tree"":""Palm""}}",procedural/pretty/palm.glb,"1,1,1",Desert,Wood,252128356:resource.wood:1,
3267725547,plant.sokpop_tree,plant sokpop tree,plant,active,Registered ecology content: plant.sokpop_tree,"{""Ecology"":{""Tree"":""Sokpop""}}",procedural/pretty/sokpop_tree.glb,"0.72,0.72,0.72",Jungle,Wood,252128356:resource.wood:1,
273424627,resource.apple,苹果,resource,active,Registered resource with a stack limit of 5000,"{""Resource"":""Apple""}",,,,,,5000
4081220126,resource.carrot,胡萝卜,resource,active,Registered resource with a stack limit of 2000,"{""Resource"":""Carrot""}",,,,,,2000
3779113125,resource.food,食物,resource,active,Registered resource with a stack limit of 20000,"{""Resource"":""Food""}",,,,,,20000
3236805234,resource.frostcore,霜心晶体,resource,active,Registered resource with a stack limit of 200,"{""Resource"":""Frostcore""}",,,,,,200
1510403545,resource.living_root,活根,resource,active,Registered resource with a stack limit of 200,"{""Resource"":""LivingRoot""}",,,,,,200
3893902990,resource.potato,土豆,resource,active,Registered resource with a stack limit of 2000,"{""Resource"":""Potato""}",,,,,,2000
1647199502,resource.stone,石头,resource,active,Registered resource with a stack limit of 10000,"{""Resource"":""Stone""}",,,,,,10000
3653429450,resource.sunstone,阳炎石,resource,active,Registered resource with a stack limit of 200,"{""Resource"":""Sunstone""}",,,,,,200
3432226481,resource.wheat_seeds,小麦种子,resource,active,Registered resource with a stack limit of 1000,"{""Resource"":""WheatSeeds""}",,,,,,1000
